Monitor ID,113E,1FD7,20CA,2E9C,3ACF,498F,4BE7,56C3,5D7A,603A,72CA,8E2A,91B8,97D7,A838,A9BE,AnandVihar_DPCC,AshokVihar_DPCC,AyaNagar_IMD,BB4A,BC46,BFDC,BurariCrossing_IMD,C0A7,CBC7,CRRIMathuraRoad_IMD,D385,D804,DF07,DKSSR_DPCC,DTU_CPCB,DwarkaSector8_DPCC,E1F8,E47A,E486,E8E4,EAC8,EastArjunNagar_CPCB,IGIAirport_IMD,IHBAS_CPCB,ITO_CPCB,JNS_DPCC,Jahangirpuri_DPCC,LodhiRoad_IMD,MDCNS_DPCC,MandirMarg_DPCC,Mundaka_DPCC,NSIT_CPCB,NehruNagar_DPCC,OkhlaPhase2_DPCC,Patparganj_DPCC,PunjabiBagh_DPCC,Pusa_DPCC,Pusa_IMD,RKPuram_DPCC,Rohini_DPCC,Shadipur_CPCB,Sirifort_CPCB,SoniaVihar_DPCC,SriAurobindoMarg_DPCC,VivekVihar_DPCC,Wazirpur_DPCC
113E,0,5806,8916,5684,4271,1671,3130,3170,15843,8483,12035,14445,7521,5260,9168,2793,13190,17792,15662,5151,10590,4091,20474,24507,8573,2790,4531,3923,2026,5489,26244,17264,3255,3799,12406,5220,5829,12849,12665,16057,9594,4065,22059,5479,7369,11022,22654,22041,2557,2951,9599,18170,14303,14303,6107,24141,15223,2988,18326,5666,15641,18854
1FD7,5806,0,3111,4631,3333,4386,4386,3257,12731,4190,17199,12117,6888,604,7674,3036,15226,14476,13123,1163,12168,5376,17830,22013,4065,8227,1306,1884,4513,10320,21937,11669,4060,2959,18020,642,2862,13676,7144,16874,9344,4521,18703,4633,6871,7976,17350,16249,5835,8725,11444,13430,9355,9355,440,19822,10490,2930,17109,3733,17006,15144
20CA,8916,3111,0,6504,5866,7481,7172,6188,11800,4137,20067,11767,8284,3680,8665,6146,17141,13539,12554,3920,14060,7888,17196,21093,3828,11309,4407,4993,7560,13195,20048,8733,6922,5745,21091,3720,4628,15158,4412,18191,10714,7146,17563,6756,8532,7893,14737,13142,8782,11824,13488,11409,7356,7356,2824,17962,8629,5999,17369,5573,18568,13884
2E9C,5684,4631,6504,0,1798,5483,2554,2981,10160,8821,14133,8847,2367,4656,11895,4575,18206,19107,10036,3514,15319,2056,22441,18952,8690,8436,4496,4150,6022,7513,26383,13012,6556,2521,17572,4648,1910,17234,8577,20498,13207,7454,23329,8290,10674,12562,21224,18387,7463,7668,14430,17787,13695,13695,4475,24277,14905,3731,21463,947,20372,19752
3ACF,4271,3333,5866,1798,0,3777,1430,1237,11736,7430,14225,10559,4135,3182,10181,2782,16431,17683,11722,2175,13529,2063,20913,20667,7345,7060,2857,2414,4285,7379,25271,13396,4760,723,16543,3165,1645,15436,8819,18700,11429,5656,21939,6519,8900,11025,20531,18516,5756,6691,12647,16755,12672,12672,3323,23155,13821,1940,19758,1425,18577,18421
498F,1671,4386,7481,5483,3777,0,3150,2540,15504,6812,13698,14320,7640,3802,7754,1388,12772,16231,15494,3952,9968,4423,19019,24429,6904,3844,3080,2565,597,7076,24604,16016,1704,3121,13638,3762,5076,12056,11446,15311,8442,2623,20509,3968,6064,9439,20994,20621,1982,4577,9035,16501,12633,12633,4738,22498,13553,1967,17115,5188,15047,17254
4BE7,3130,4386,7172,2554,1430,3150,0,1221,12713,8229,12896,11346,4517,4079,10404,2680,15911,18342,12553,3306,13118,1336,21423,21433,8194,5887,3548,2931,3735,6023,26201,14826,4544,1442,15192,4050,3066,15177,10249,18437,11400,5503,22622,6610,8921,11584,21726,19936,5074,5304,12185,17768,13714,13714,4479,24082,14813,1949,19940,2644,18196,19177
56C3,3170,3257,6188,2981,1237,2540,1221,0,12969,7010,13946,11790,5243,2895,9285,1639,15225,17127,12957,2267,12348,2478,20231,21899,6979,5936,2332,1710,3053,7065,24988,14194,3611,632,15552,2865,2666,14306,9593,17571,10393,4540,21405,5529,7883,10379,20604,19146,4520,5818,11452,16574,12531,12531,3408,22870,13615,809,18847,2653,17409,17956
5D7A,15843,12731,11800,10160,11736,15504,12713,12969,0,15883,21316,2333,8651,13170,20210,14360,27867,24889,1614,12211,24845,11934,28686,9326,15594,18580,13488,13510,15983,16198,29664,10193,16219,12385,27281,13191,10541,26406,9055,29588,22042,16965,28573,17346,19599,19693,22520,15515,17473,17559,24062,21431,17978,17978,12318,27768,19274,13582,29169,10317,29736,24902
603A,8483,4190,4137,8821,7430,6812,8229,7010,15883,0,20487,15678,11057,4247,4598,5965,13368,10287,16547,5326,10329,9390,13672,25197,336,10075,4683,5305,6554,13740,17995,11962,5430,6920,19394,4266,7019,11160,8221,14114,6743,5064,14522,3960,4881,3919,14238,15296,7171,11348,9903,9709,5829,5829,4383,15878,6751,6382,13334,7918,14574,10992
