"ts","pm25_Anand_Vihar","pm25_Ashok_Vihar","pm25_Aya_Nagar","pm25_CRRI_Mathura_Road","pm25_DTU","pm25_Dr._Karni_Singh_Shooting_Range","pm25_Dwarka-Sector_8","pm25_IGI_Airport_(T3)","pm25_IHBAS,_Dilshad_Garden","pm25_ITO","pm25_Jahangirpuri","pm25_Jawaharlal_Nehru_Stadium","pm25_Lodhi_Road","pm25_Major_Dhyan_Chand_National_Stadium","pm25_Mandir_Marg","pm25_NSIT_Dwarka","pm25_Nehru_Nagar","pm25_Okhla_Phase-2","pm25_Patparganj","pm25_Punjabi_Bagh","pm25_Pusa","pm25_R_K_Puram","pm25_Rohini","pm25_Shadipur","pm25_Sirifort","pm25_Sonia_Vihar","pm25_Vivek_Vihar","pm25_Wazirpur"
"2018-05-11 00:00 IST",333,242.33,NA,220.42,188,NA,150,139.39,132.8,NA,230,166,131.4,145,268,159.4,139,232.67,129,234,162.44,184,167.33,194.8,149,213,212,220.67
"2018-05-11 00:15 IST",333,266,NA,201.8,188,NA,150,143.26,137.4,NA,230,166,128.23,145,268,159.4,139,269,129,234,152.96,184,168,194.8,149,213,212,234
"2018-05-11 00:30 IST",333,266,NA,190.01,188,NA,150,147.84,137.4,NA,230,166,125.08,145,268,159.4,139,269,129,234,157.48,184,168,194.8,NA,213,212,234
"2018-05-11 00:45 IST",333,266,10.94,195.46,188,NA,150,147.1,137.4,NA,230,166,127.48,145,268,159.5,139,269,129,234,161.56,184,168,193.8,149,213,212,234
"2018-05-11 01:00 IST",354,262,13.99,207.44,188,NA,160,149.75,151,NA,267,156.67,133.03,178,285,162,140,240.33,123,252,166.56,206,178,149.2,151,223,215.33,203.33
"2018-05-11 01:15 IST",354,260,11.63,212.75,188,NA,160,146.45,156.3,NA,267,152,132.75,178,285,162,140,226,123,252,175.77,206,183,149.2,151,223,217,188
"2018-05-11 01:30 IST",354,260,18.64,206.14,261,NA,160,146.11,156.3,NA,267,152,131.08,178,285,162,140,226,123,252,181.69,206,183,149.2,NA,223,217,188
"2018-05-11 01:45 IST",354,260,30.84,194.25,266,NA,160,144.41,156.3,187,267,152,128.34,178,285,161.8,140,226,123,252,195.67,206,183,149.7,151,223,217,188
"2018-05-11 02:00 IST",268,236,42.24,181.84,266,NA,158,146.01,156.5,177,269,155.33,130.56,141,266,151.2,145,198.67,121,190,204.99,167,169.67,172,145,244,202.33,242
"2018-05-11 02:15 IST",268,224,43.86,170.66,266,NA,158,141.71,156.6,NA,269,157,134.07,141,266,151.2,145,185,121,190,208.34,167,163,172,145,244,195,269
"2018-05-11 02:30 IST",268,224,45.16,163.74,307,NA,158,136.09,156.6,NA,269,157,134.59,141,266,151.2,145,185,121,190,215.38,167,163,172,NA,244,195,269
"2018-05-11 02:45 IST",268,224,41.51,161.53,309,NA,158,132.72,156.6,NA,269,157,133.36,141,266,151,145,185,121,190,227.23,167,163,171,145,244,195,269
"2018-05-11 03:00 IST",226,200,39.99,154.13,309,NA,150,124.42,153.5,NA,229,149,130.98,124,276,141.1,146,191.67,118,232,223.63,153,144.33,127,146,259,175.67,175.67
"2018-05-11 03:15 IST",226,188,40.24,158.44,309,NA,150,117.25,152.3,NA,229,145,132.03,124,276,141.1,146,195,118,232,202.09,153,135,127,146,259,166,129
"2018-05-11 03:30 IST",226,188,45.13,160.83,309,NA,150,114.84,152.3,161,229,145,130.58,124,276,141.1,146,195,118,232,182.45,153,135,127,NA,259,166,129
"2018-05-11 03:45 IST",226,188,44.35,155.19,NA,NA,150,126.71,152.3,NA,229,145,130.43,124,276,140.7,146,195,118,232,176.16,153,135,126,146,259,166,129
"2018-05-11 04:00 IST",207,174,49.3,144.08,NA,NA,164,128.87,154.3,NA,206,149.67,128.38,121,301,125.1,127,176.33,108,183,172.79,152,131.67,85.6,138,221,156.67,140.33
"2018-05-11 04:15 IST",207,167,51.91,140.83,NA,NA,164,125.99,155.1,NA,206,152,125.62,121,301,125.1,127,167,108,183,161.03,152,130,85.6,138,221,152,146
"2018-05-11 04:30 IST",207,167,56.08,144.66,228,NA,164,117.88,155.1,NA,206,152,118.35,121,301,125.1,127,167,108,183,155.79,152,130,85.6,NA,221,152,146
"2018-05-11 04:45 IST",207,167,58.29,138.8,228,NA,164,114.95,155.1,NA,206,152,111.69,121,301,125.3,127,167,108,183,155.9,152,130,86.8,138,221,152,146
"2018-05-11 05:00 IST",214,163,57.09,122.48,228,NA,199,118.78,146.5,150,180,130,115.08,103,205,136.2,114,152.33,91,162,155.53,99,125.33,141.2,121,186,150.67,136.67
"2018-05-11 05:15 IST",214,161,48.78,110.95,228,NA,199,131.19,143.4,145,180,119,124.11,103,205,136.2,114,145,91,162,151.67,99,123,141.2,120,186,150,132
"2018-05-11 05:30 IST",214,161,42.93,91.49,NA,NA,199,159.86,143.4,NA,180,119,124.84,103,205,136.2,114,145,91,162,155.07,99,123,141.2,NA,186,150,132
"2018-05-11 05:45 IST",214,161,44.42,88.72,NA,NA,199,179.45,NA,NA,180,119,117.02,103,205,136.2,114,145,91,162,169.55,99,123,140.8,120,186,150,132
"2018-05-11 06:00 IST",174,169,46.91,95.84,NA,NA,173,187.15,118.4,NA,240,121.67,108.7,102,194,134,101,126.33,89,166,178.25,116,127,121,123,179,136,141.33
"2018-05-11 06:15 IST",174,173,42.59,117.24,NA,NA,173,177.56,108.9,NA,240,123,105.85,102,194,134,101,117,89,166,175.1,116,129,121,123,179,129,146
"2018-05-11 06:30 IST",174,173,33.84,122.64,NA,NA,173,164.97,108.9,NA,240,123,98.97,102,194,134,101,117,89,166,181,116,129,121,NA,179,129,146
"2018-05-11 06:45 IST",174,173,27.2,128.61,NA,NA,173,149.33,NA,NA,240,123,89.95,102,194,134.2,101,117,89,166,185.25,116,129,120.6,123,179,129,146
"2018-05-11 07:00 IST",182,190,30.85,127.4,NA,NA,199,151.3,118.8,NA,224,129.67,90.02,106,305,142,103,141,94,177,207.7,161,126.33,104.7,111,167,127.67,153.33
"2018-05-11 07:15 IST",182,190,47.23,132.14,NA,NA,199,155.28,NA,NA,224,133,95.17,106,305,142,103,153,94,177,221.69,161,125,104.7,110,167,127,157
"2018-05-11 07:30 IST",182,190,51.54,142.14,NA,NA,199,158.86,122.6,NA,224,133,120.33,106,305,142,103,153,94,177,234.47,161,125,104.7,NA,167,127,157
"2018-05-11 07:45 IST",182,190,33.18,152.56,NA,NA,199,158.47,122.6,NA,224,133,133.48,106,305,141.8,103,153,94,177,237.56,161,125,105.4,110,167,127,157
