"loc","lon","lat","utmx","utmy"
"20CA",77.16107,28.574575,711.371527810736,3162.7608650414
"BFDC",77.21423,28.521082,716.681984533585,3156.92730209162
"D804",77.20862,28.55823,716.056985850131,3161.03425024214
"BB4A",77.19443,28.55498,714.675082697546,3160.64853978394
"E486",77.372284,28.536617,732.119579175462,3158.94497668315
"A9BE",77.22059,28.556858,717.231082638117,3160.90384539491
"72CA",77.31596,28.455967,726.779289503404,3149.89850189251
"5D7A",77.1004,28.482569,705.614601756836,3152.45872232211
"C0A7",77.04353,28.41508,700.173238744106,3144.8834383856
"498F",77.23477,28.55663,718.61910792598,3160.90437833298
"E47A",77.20719,28.54249,715.949192568082,3159.28722232795
"BC46",77.2887,28.63295,723.734587921697,3169.46278929903
"4BE7",77.21711,28.532871,716.939737406616,3158.23907445114
"2E9C",77.19338,28.523289,714.636605610243,3157.1343982626
"E1F8",77.23176,28.571775,718.293291947783,3162.57741134132
"1FD7",77.19097,28.56502,714.316157789652,3161.75506138347
"CBC7",77.18571,28.601406,713.727862553274,3165.77826780847
"91B8",77.18566,28.50305,713.921817427193,3154.87756178692
