"ts","pm25_20CA","pm25_BFDC","pm25_D804","pm25_BB4A","pm25_E486","pm25_A9BE","pm25_72CA","pm25_5D7A","pm25_C0A7","pm25_498F","pm25_E47A","pm25_BC46","pm25_4BE7","pm25_2E9C","pm25_E1F8","pm25_1FD7","pm25_CBC7","pm25_91B8"
"2018-05-11 00:00 IST",126,162,NA,185,123.666664,NA,NA,102.333336,122.333336,164.66667,178.33333,195.66667,146,NA,160,NA,127.666664,209.33333
"2018-05-11 00:15 IST",133.66667,160.66667,NA,184.33333,179.5,NA,NA,100.333336,129,170.66667,190,192.66667,152,NA,160,NA,130.66667,279.33334
"2018-05-11 00:30 IST",136.66667,178,NA,177.66667,172.5,NA,NA,107,128.66667,170.66667,179.66667,201,167.33333,NA,148.66667,NA,134.66667,275.66666
"2018-05-11 00:45 IST",141.33333,207.66667,NA,181.66667,164,NA,NA,105.333336,136,177,193.66667,216,164.33333,NA,168.66667,NA,133.66667,297.33334
"2018-05-11 01:00 IST",146,229.66667,NA,193.66667,166,NA,NA,105.666664,143.33333,176.66667,196.66667,241.66667,204.33333,NA,153.66667,NA,135,229.33333
"2018-05-11 01:15 IST",146.33333,189.66667,NA,187,194,NA,NA,105,143.66667,177.33333,181.33333,237,175,NA,170.33333,NA,141.66667,228
"2018-05-11 01:30 IST",147.33333,174.66667,NA,187.33333,195,NA,NA,104,144,182.66667,188.33333,220,172,NA,165.66667,NA,146.33333,226.33333
"2018-05-11 01:45 IST",129.66667,177.33333,NA,187.66667,189,NA,NA,106.666664,136.66667,166,182,211.66667,149.66667,NA,159.66667,NA,144,228.66667
"2018-05-11 02:00 IST",132,171.66667,NA,183.66667,199,NA,NA,105.666664,133,171,188,218.33333,156.33333,NA,159.33333,NA,141.33333,240
"2018-05-11 02:15 IST",128.66667,170.33333,NA,191.66667,205,NA,NA,106.333336,131,171.66667,185.33333,220.33333,164,NA,167,NA,146,248.66667
"2018-05-11 02:30 IST",123.666664,186,NA,190,205,NA,NA,110.666664,128,173.33333,194,216.66667,176,NA,161,NA,149.33333,238.66667
"2018-05-11 02:45 IST",134.33333,171.66667,NA,197.66667,187,NA,NA,110.333336,125,175,194,207,177.33333,NA,150,NA,152.33333,240
"2018-05-11 03:00 IST",136.66667,173.66667,NA,190.33333,171,NA,NA,110.333336,124,174,192.33333,197.33333,164,NA,153,NA,150.33333,233.33333
"2018-05-11 03:15 IST",132,168.66667,NA,193,172,NA,NA,113.333336,119.666664,169.66667,189.66667,207,161.66667,NA,148.33333,NA,149.33333,220.33333
"2018-05-11 03:30 IST",128,161.33333,NA,185,165,NA,NA,111.666664,123.333336,168,178,206.66667,140.66667,NA,162,NA,145.33333,219
"2018-05-11 03:45 IST",121.666664,157.66667,NA,174.66667,174.66667,NA,NA,109,123,174,174,199.33333,159.66667,NA,164.66667,NA,149,215.66667
"2018-05-11 04:00 IST",123.333336,158.33333,NA,180,184,NA,NA,107,118.333336,166.66667,174.66667,211.66667,151.66667,NA,155.66667,NA,143.33333,221
"2018-05-11 04:15 IST",120.666664,151.66667,NA,182,183.5,NA,NA,104,110.333336,155.33333,178.25,201.33333,159,NA,155.33333,NA,139.66667,217.66667
"2018-05-11 04:30 IST",124,149.33333,NA,186,195,NA,NA,105,114,148.33333,177.66667,186.66667,130.33333,NA,147,NA,136.66667,215.66667
"2018-05-11 04:45 IST",127.333336,146.66667,NA,175,181,NA,NA,107.333336,115.666664,145.33333,169.66667,190,145.33333,NA,141.66667,NA,133,217
"2018-05-11 05:00 IST",120.333336,145,NA,177.33333,159,NA,NA,105,114.333336,144.33333,174.2,179.33333,135.66667,NA,136.66667,NA,131.66667,219
"2018-05-11 05:15 IST",134,148,NA,189,148.33333,NA,NA,104,114.666664,144.66667,166.66667,181.33333,139.66667,NA,138.33333,NA,133,226.66667
"2018-05-11 05:30 IST",146,139.66667,NA,181,149.66667,NA,NA,101,116.333336,147,171,177.33333,137.66667,NA,141.33333,NA,130.33333,236.33333
"2018-05-11 05:45 IST",174.33333,144,NA,174,135.33333,NA,NA,102,117.666664,147,160.33333,168.66667,138,NA,128.33333,NA,130.66667,210.33333
"2018-05-11 06:00 IST",196.66667,146.66667,NA,183.66667,126,NA,NA,100,122,137.33333,158.66667,153.33333,143.66667,NA,134.33333,NA,132,215.66667
"2018-05-11 06:15 IST",218.66667,146.33333,NA,210.66667,123,NA,NA,120.333336,124.666664,146.33333,159,205.66667,147.66667,NA,138.66667,NA,142,223
"2018-05-11 06:30 IST",230.33333,147,NA,223,151,NA,NA,116,128.66667,139.66667,157.33333,208.33333,142,NA,145.33333,NA,149.33333,216.66667
"2018-05-11 06:45 IST",214.66667,174.66667,NA,236,163,NA,NA,116.5,150.66667,141,161,199.66667,139.66667,NA,154.33333,NA,144.33333,223.33333
"2018-05-11 07:00 IST",193.33333,212,NA,248.33333,156.5,NA,NA,113,162.33333,140,170,191.66667,150.33333,NA,177.33333,NA,145,227
"2018-05-11 07:15 IST",185.33333,199,NA,245.66667,150.66667,NA,NA,110,156,151.33333,183.33333,209,161,NA,175,NA,142.33333,228.33333
